1	苹果园	545	453
2	古城	573	478
3	八角游乐园	593	478
4	八宝山	613	478
5	玉泉路	633	478
6	五棵松	653	478
7	万寿路	673	478
8	公主坟	693	478
9	军事博物馆	718	478
10	木樨地	753	478
11	南礼士路	773	478
12	复兴门	795	478
13	西单	836	478
14	天安门西	873	478
15	天安门东	898	478
16	王府井	915	478
17	东单	946	478
18	建国门	987	478
19	永安里	1013	478
20	国贸	1037	478
21	大望路	1070	478
22	四惠	1100	478
23	四惠东	1120	478
24	高碑店	1140	478
25	传媒大学	1160	478
26	双桥	1180	478
27	管庄	1200	478
28	八里桥	1220	478
29	通州北苑	1240	486
30	果园	1249	494
31	九棵树	1257	503
32	梨园	1266	511
33	临河里	1274	519
34	土桥	1286	530
35	花庄	1286	589
36	环球度假区	1260	602
37	阜成门	796	459
38	车公庄	796	436
39	西直门	796	409
40	积水潭	841	391
41	鼓楼大街	887	391
42	安定门	918	391
43	雍和宫	947	391
44	东直门	986	408
45	东四十条	986	431
46	朝阳门	986	449
47	北京站	981	503
48	崇文门	947	509
49	前门	895	509
50	和平门	858	509
51	宣武门	835	509
52	长椿街	803	503
53	安河桥北	645	280
54	北宫门	673	280
55	西苑	699	280
56	圆明园	719	292
57	北京大学东门	719	306
58	中关村	719	320
59	海淀黄庄	719	339
60	人民大学	719	361
61	魏公村	719	381
62	国家图书馆	719	398
63	动物园	767	409
64	新街口	827	409
65	平安里	835	436
66	西四	835	451
67	灵境胡同	835	465
68	菜市口	835	528
69	陶然亭	835	550
70	北京南站	835	569
71	马家堡	835	592
72	角门西	835	611
73	公益西桥	835	620
74	新宫	835	633
75	西红门	767	661
76	高米店北	767	673
77	高米店南	767	684
78	枣园	767	695
79	清源路	767	706
80	黄村西大街	767	717
81	义和庄	767	739
82	生物医药基地	767	750
83	天宫院	767	763
84	天通苑北	946	189
85	天通苑	946	206
86	天通苑南	946	223
87	立水桥	946	239
88	立水桥南	946	256
89	北苑路北	946	278
90	大屯路东	946	306
91	惠新西街北口	946	326
92	惠新西街南口	946	339
93	和平西桥	946	362
94	和平里北街	946	376
95	北新桥	946	408
96	张自忠路	946	431
97	东四	946	450
98	灯市口	946	464
99	磁器口	946	528
100	黄村火车站	767	728
101	天坛东门	946	551
102	蒲黄榆	946	569
103	刘家窑	946	592
104	宋家庄	946	610
105	金安桥	522	453
106	杨庄	565	445
107	西黄村	584	436
108	廖公庄	605	436
109	田村	624	436
110	海淀五路居	647	436
111	慈寿寺	667	436
112	花园桥	696	436
113	白石桥南	719	436
114	二里沟	753	436
115	车公庄西	775	436
116	北海北	859	436
117	南锣鼓巷	896	436
118	东大桥	1012	450
119	呼家楼	1038	450
120	金台路	1069	450
121	十里堡	1104	450
122	青年路	1123	450
123	褡裢坡	1166	450
124	黄渠	1184	450
125	常营	1200	450
126	草房	1220	450
127	物资学院路	1241	450
128	通州北关	1269	458
129	通运门	1286	475
130	北运河西	1309	489
131	北运河东	1324	489
132	郝家府	1338	489
133	东夏园	1352	489
134	潞城	1365	489
135	朱辛庄	801	208
136	育知路	824	208
137	平西府	848	208
138	回龙观东大街	867	220
139	霍营	867	239
140	育新	867	251
141	西小口	867	262
142	永泰庄	867	273
143	林萃桥	875	286
144	森林公园南门	884	294
145	奥林匹克公园	887	306
146	奥体中心	887	323
147	北土城	887	340
148	安华桥	887	358
149	安德里北街	887	372
150	什刹海	887	414
151	中国美术馆	910	450
152	金鱼胡同	916	464
153	珠市口	886	528
154	天桥	886	548
155	永定门外	886	569
156	木樨园	886	581
157	海户屯	886	597
158	大红门南	886	634
159	和义	886	652
160	东高地	898	674
161	火箭万源	912	688
162	五福堂	927	703
163	德茂	941	716
164	瀛海	955	730
165	白堆子	718	458
166	北京西站	718	516
167	六里桥东	707	533
168	六里桥	693	547
169	七里庄	669	570
170	丰台东大街	664	583
171	丰台南路	664	601
172	科怡路	664	625
173	丰台科技园	664	642
174	郭公庄	664	662
175	西钓鱼台	681	458
176	车道沟	667	400
177	长春桥	667	384
178	火器营	667	364
179	巴沟	670	345
180	苏州街	684	339
181	知春里	752	339
182	知春路	787	339
183	西土城	818	339
184	牡丹园	841	339
185	健德门	864	339
186	安贞门	913	339
187	芍药居	995	339
188	太阳宫	1033	344
189	三元桥	1038	369
190	亮马桥	1038	397
191	农业展览馆	1038	414
192	团结湖	1038	431
193	金台夕照	1038	464
194	双井	1038	528
195	劲松	1038	541
196	潘家园	1038	553
197	十里河	1038	569
198	分钟寺	1035	609
199	成寿寺	995	611
200	石榴庄	917	611
201	大红门	881	611
202	角门东	858	611
203	草桥	787	611
204	纪家庙	755	611
205	首经贸	715	611
206	丰台站	692	599
207	泥洼	693	586
208	西局	693	570
209	莲花桥	693	516
210	大钟寺	787	361
211	五道口	787	303
212	上地	787	280
213	清河站	785	260
214	西二旗	785	247
215	龙泽	801	239
216	回龙观	829	239
217	北苑	996	261
218	望京西	996	305
219	光熙门	996	366
220	柳芳	996	384
